id,name,provider,amount,amountFormatted,deadline,category,description,status,coverage,selectionProcess,benefits,officialLink,educationLevel,gender,familyIncomeMax,states,castes,fieldsOfStudy,documents
88,India Scholarship Scheme 88,Education Foundation 3,152275,"₹152,275",2026-09-23,Research,Mock Indian scholarship program focused on research support.,Open,Books and Tuition,Entrance Test,Laptop Support,https://example-scholarship-88.in,Diploma,Female,1000000,Jharkhand,General,Engineering,Aadhaar; Income Certificate; Marksheet; Bank Passbook
89,India Scholarship Scheme 89,Education Foundation 4,26899,"₹26,899",2026-07-12,SC/ST,Mock Indian scholarship program focused on sc/st support.,Open,Tuition + Hostel,Merit Based,Hostel Assistance,https://example-scholarship-89.in,PG,Male,800000,Haryana,ST,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
90,India Scholarship Scheme 90,Education Foundation 15,64941,"₹64,941",2026-08-18,Technical Education,Mock Indian scholarship program focused on technical education support.,Open,Tuition + Hostel,Interview + Merit,Laptop Support,https://example-scholarship-90.in,UG,Any,300000,Kerala,General,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
91,India Scholarship Scheme 91,Education Foundation 8,181450,"₹181,450",2026-11-11,SC/ST,Mock Indian scholarship program focused on sc/st support.,Open,Books and Tuition,Need + Merit,Laptop Support,https://example-scholarship-91.in,PG,Male,200000,Karnataka,ST,All,Aadhaar; Income Certificate; Marksheet; Bank Passbook
92,India Scholarship Scheme 92,Education Foundation 1,150596,"₹150,596",2026-10-10,Need-Based,Mock Indian scholarship program focused on need-based support.,Upcoming,Tuition Fee,Entrance Test,Research Grant,https://example-scholarship-92.in,PhD,Female,500000,Tamil Nadu,ST,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
93,India Scholarship Scheme 93,Education Foundation 11,15759,"₹15,759",2026-08-16,Sports,Mock Indian scholarship program focused on sports support.,Upcoming,Tuition + Hostel,Entrance Test,Research Grant,https://example-scholarship-93.in,PhD,Female,500000,Chhattisgarh,OBC,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
94,India Scholarship Scheme 94,Education Foundation 5,197267,"₹197,267",2026-07-18,Need-Based,Mock Indian scholarship program focused on need-based support.,Open,Full Academic Support,Entrance Test,Research Grant,https://example-scholarship-94.in,PhD,Male,1000000,Jharkhand,General,Medical,Aadhaar; Income Certificate; Marksheet; Bank Passbook
95,India Scholarship Scheme 95,Education Foundation 10,69412,"₹69,412",2026-10-08,Girls Education,Mock Indian scholarship program focused on girls education support.,Upcoming,Full Academic Support,Need + Merit,Annual Stipend,https://example-scholarship-95.in,Class 10,Female,800000,Punjab,Minority,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
96,India Scholarship Scheme 96,Education Foundation 15,121846,"₹121,846",2026-11-26,Minority,Mock Indian scholarship program focused on minority support.,Upcoming,Books and Tuition,Entrance Test,Research Grant,https://example-scholarship-96.in,Class 12,Male,500000,Bihar,General,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
97,India Scholarship Scheme 97,Education Foundation 25,135409,"₹135,409",2026-08-21,SC/ST,Mock Indian scholarship program focused on sc/st support.,Open,Books and Tuition,Entrance Test,Annual Stipend,https://example-scholarship-97.in,PhD,Female,200000,Tamil Nadu,Minority,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
98,India Scholarship Scheme 98,Education Foundation 4,21957,"₹21,957",2026-07-18,Need-Based,Mock Indian scholarship program focused on need-based support.,Open,Tuition + Hostel,Interview + Merit,Hostel Assistance,https://example-scholarship-98.in,PhD,Any,200000,Andhra Pradesh,EWS,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
99,India Scholarship Scheme 99,Education Foundation 15,108625,"₹108,625",2026-12-16,Need-Based,Mock Indian scholarship program focused on need-based support.,Open,Full Academic Support,Entrance Test,Laptop Support,https://example-scholarship-99.in,UG,Female,200000,Bihar,OBC,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
100,India Scholarship Scheme 100,Education Foundation 18,48163,"₹48,163",2026-11-23,Girls Education,Mock Indian scholarship program focused on girls education support.,Upcoming,Full Academic Support,Interview + Merit,Hostel Assistance,https://example-scholarship-100.in,PG,Any,500000,West Bengal,General,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
